file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_99.0_cf4_1.0_4.1kVcm_0.050bar_0.5700mm_100npe copy.root,4.1,0.05,0.57,ar,99.0,cf4,1.0,1.0,81.03,47.0064373412318,80.05,47.00835408239001,100
ar_99.0_cf4_1.0_4.1kVcm_0.050bar_0.5700mm_100npe.root,4.1,0.05,0.57,ar,99.0,cf4,1.0,1.0,81.03,47.0064373412318,80.05,47.00835408239001,100
ar_99.0_cf4_1.0_423.9kVcm_10.000bar_0.0080mm_100npe.root,423.9,10.0,0.008,ar,99.0,cf4,1.0,1.0,95.94,67.5881496994701,95.16,67.71474929974468,100
ar_99.0_cf4_1.0_43.3kVcm_0.050bar_0.1078mm_100npe copy.root,43.3,0.05,0.1078,ar,99.0,cf4,1.0,1.0,133.17,102.34513356108519,128.05,99.1383458413626,100
ar_99.0_cf4_1.0_43.3kVcm_0.050bar_0.1078mm_100npe.root,43.3,0.05,0.1078,ar,99.0,cf4,1.0,1.0,133.17,102.34513356108519,128.05,99.1383458413626,100
ar_99.0_cf4_1.0_43.3kVcm_1.000bar_0.0750mm_100npe.root,43.3,1.0,0.075,ar,99.0,cf4,1.0,1.0,93.34,61.07955071176862,92.55,61.25346825884534,100
ar_99.0_cf4_1.0_432.9kVcm_10.000bar_0.0077mm_100npe.root,432.9,10.0,0.0077,ar,99.0,cf4,1.0,1.0,94.12,61.565482917530076,93.31,61.733983732420405,100
ar_99.0_cf4_1.0_44.1kVcm_0.200bar_0.0500mm_100npe.root,44.1,0.2,0.05,ar,99.0,cf4,1.0,1.0,96.89,41.92390774252849,95.54,41.807258564594605,100
ar_99.0_cf4_1.0_446.7kVcm_10.000bar_0.0070mm_100npe.root,446.7,10.0,0.007,ar,99.0,cf4,1.0,1.0,77.95,59.60380555269636,77.14,59.70889313320018,100
ar_99.0_cf4_1.0_48.1kVcm_1.000bar_0.0638mm_100npe.root,48.1,1.0,0.0638,ar,99.0,cf4,1.0,1.0,108.64,70.48540503701687,107.78,70.56089568592508,100
ar_99.0_cf4_1.0_480.6kVcm_10.000bar_0.0065mm_100npe.root,480.6,10.0,0.0065,ar,99.0,cf4,1.0,1.0,112.19,78.11655303830207,111.33,78.1954369745215,100
ar_99.0_cf4_1.0_490.8kVcm_10.000bar_0.0062mm_100npe.root,490.8,10.0,0.0062,ar,99.0,cf4,1.0,1.0,109.39,74.49369778780625,108.57,74.60661207732574,100
ar_99.0_cf4_1.0_5.3kVcm_0.050bar_0.4023mm_100npe copy.root,5.3,0.05,0.4023,ar,99.0,cf4,1.0,1.0,82.31,38.47226339202114,81.32,38.47992523985262,100
ar_99.0_cf4_1.0_5.3kVcm_0.050bar_0.4023mm_100npe.root,5.3,0.05,0.4023,ar,99.0,cf4,1.0,1.0,82.31,38.47226339202114,81.32,38.47992523985262,100
ar_99.0_cf4_1.0_501.2kVcm_10.000bar_0.0056mm_100npe.root,501.2,10.0,0.0056,ar,99.0,cf4,1.0,1.0,72.17,55.86727688247053,71.26,55.893227937675334,100
ar_99.0_cf4_1.0_533.7kVcm_1.000bar_0.0046mm_100npe.root,533.7,1.0,0.0046,ar,99.0,cf4,1.0,1.0,40.45,22.642756997425124,38.76,22.08849053560279,100
ar_99.0_cf4_1.0_533.7kVcm_10.000bar_0.0055mm_100npe.root,533.7,10.0,0.0055,ar,99.0,cf4,1.0,1.0,97.41,71.1280102237075,96.51,71.2866591851363,100
ar_99.0_cf4_1.0_54.8kVcm_1.000bar_0.0500mm_100npe.root,54.8,1.0,0.05,ar,99.0,cf4,1.0,1.0,88.69,51.80162140124555,87.78,51.852467480712846,100
ar_99.0_cf4_1.0_562.3kVcm_10.000bar_0.0046mm_100npe.root,562.3,10.0,0.0046,ar,99.0,cf4,1.0,1.0,70.07,46.6695356260972,69.17,46.68031293984238,100
ar_99.0_cf4_1.0_568.3kVcm_10.000bar_0.0050mm_100npe.root,568.3,10.0,0.005,ar,99.0,cf4,1.0,1.0,104.33,66.40875185720873,103.38,66.41646686407724,100
ar_99.0_cf4_1.0_59.3kVcm_1.000bar_0.0456mm_100npe.root,59.3,1.0,0.0456,ar,99.0,cf4,1.0,1.0,94.61,61.649529969453496,93.72,61.77608311024943,100
ar_99.0_cf4_1.0_592.6kVcm_10.000bar_0.0047mm_100npe.root,592.6,10.0,0.0047,ar,99.0,cf4,1.0,1.0,109.64,65.06942989661663,108.67,65.1087753399081,100
ar_99.0_cf4_1.0_6.6kVcm_0.050bar_0.3175mm_100npe copy.root,6.6,0.05,0.3175,ar,99.0,cf4,1.0,1.0,79.46,39.131330287903715,78.46,39.1878202063505,100
ar_99.0_cf4_1.0_6.6kVcm_0.050bar_0.3175mm_100npe.root,6.6,0.05,0.3175,ar,99.0,cf4,1.0,1.0,79.46,39.131330287903715,78.46,39.1878202063505,100
ar_99.0_cf4_1.0_65.8kVcm_0.050bar_0.1059mm_100npe copy.root,65.8,0.05,0.1059,ar,99.0,cf4,1.0,1.0,112.09,114.66755593383154,106.23,110.21419503802034,100
ar_99.0_cf4_1.0_65.8kVcm_0.050bar_0.1059mm_100npe.root,65.8,0.05,0.1059,ar,99.0,cf4,1.0,1.0,112.09,114.66755593383154,106.23,110.21419503802034,100
ar_99.0_cf4_1.0_65.8kVcm_1.000bar_0.0393mm_100npe.root,65.8,1.0,0.0393,ar,99.0,cf4,1.0,1.0,86.17,63.86302497999887,85.24,63.868254551020414,100
ar_99.0_cf4_1.0_657.9kVcm_10.000bar_0.0040mm_100npe.root,657.9,10.0,0.004,ar,99.0,cf4,1.0,1.0,103.92,61.91256134683214,102.99,61.93112743568088,100
