level,gas,state_name,type,energy_eV,n_events
64,N2, ATTACHMENT                                       ,attachment,0.0,0.0
65,N2, ROTATION  2-0                    ELOSS=  -0.00148,superelastic,-0.00148008,1258.0
66,N2, ROTATION  3-1                    ELOSS=  -0.00247,superelastic,-0.0024668,972.0
67,N2, ROTATION  4-2                    ELOSS=  -0.00345,superelastic,-0.00345352,2744.0
68,N2, ROTATION  5-3                    ELOSS=  -0.00444,superelastic,-0.00444024,1469.0
69,N2, ROTATION  6-4                    ELOSS=  -0.00543,superelastic,-0.00542696,3391.0
70,N2, ROTATION  7-5                    ELOSS=  -0.00641,superelastic,-0.00641368,1839.0
71,N2, ROTATION  8-6                    ELOSS=  -0.00740,superelastic,-0.0074004,3529.0
72,N2, ROTATION  9-7                    ELOSS=  -0.00839,superelastic,-0.00838712,1712.0
73,N2, ROTATION 10-8                    ELOSS=  -0.00937,superelastic,-0.00937384,3057.0
74,N2, ROTATION 11-9                    ELOSS=  -0.0104 ,superelastic,-0.0103606,1424.0
75,N2, ROTATION 12-10                   ELOSS=  -0.0113 ,superelastic,-0.0113473,2383.0
76,N2, ROTATION 13-11                   ELOSS=  -0.0123 ,superelastic,-0.012334,1011.0
77,N2, ROTATION 14-12                   ELOSS=  -0.0133 ,superelastic,-0.0133207,1696.0
78,N2, ROTATION 15-13                   ELOSS=  -0.0143 ,superelastic,-0.0143074,649.0
79,N2, ROTATION 16-14                   ELOSS=  -0.0153 ,superelastic,-0.0152942,1063.0
80,N2, ROTATION 17-15                   ELOSS=  -0.0163 ,superelastic,-0.0162809,411.0
81,N2, ROTATION 18-16                   ELOSS=  -0.0173 ,superelastic,-0.0172676,596.0
82,N2, ROTATION 19-17                   ELOSS=  -0.0183 ,superelastic,-0.0182543,200.0
83,N2, ROTATION 20-18                   ELOSS=  -0.0192 ,superelastic,-0.019241,287.0
84,N2, ROTATION 21-19                   ELOSS=  -0.0202 ,superelastic,-0.0202278,116.0
85,N2, ROTATION 22-20                   ELOSS=  -0.0212 ,superelastic,-0.0212145,131.0
86,N2, ROTATION 23-21                   ELOSS=  -0.0222 ,superelastic,-0.0222012,39.0
87,N2, ROTATION 24-22                   ELOSS=  -0.0232 ,superelastic,-0.0231879,57.0
88,N2, ROTATION 25-23                   ELOSS=  -0.0242 ,superelastic,-0.0241746,18.0
89,N2, ROTATION 26-24                   ELOSS=  -0.0252 ,superelastic,-0.0251614,23.0
90,N2, ROTATION 27-25                   ELOSS=  -0.0261 ,superelastic,-0.0261481,3.0
91,N2, ROTATION 28-26                   ELOSS=  -0.0271 ,superelastic,-0.0271348,5.0
92,N2, ROTATION 29-27                   ELOSS=  -0.0281 ,superelastic,-0.0281215,3.0
93,N2, ROTATION 30-28                   ELOSS=  -0.0291 ,superelastic,-0.0291082,4.0
94,N2, ROTATION 31-29                   ELOSS=  -0.0301 ,superelastic,-0.030095,1.0
95,N2, ROTATION 32-30                   ELOSS=  -0.0311 ,superelastic,-0.0310817,0.0
